"From DA FORM 705, MAY 2010",,,,,,,,,,
PU-M,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
77,,,100,,,,,,,
76,,,99,,,,,,,
75,,100,98,100,,,,,,
74,,99,97,99,,,,,,
73,,98,96,98,100,,,,,
72,,97,95,97,99,,,,,
71,100,96,94,96,98,,,,,
70,99,94,93,95,97,,,,,
69,97,93,92,94,96,,,,,
68,96,92,91,93,95,,,,,
67,94,91,89,92,94,,,,,
66,93,90,88,91,93,100,,,,
65,92,89,87,90,92,99,,,,
64,90,87,86,89,91,98,,,,
63,89,86,85,88,90,97,,,,
62,88,85,84,87,89,96,,,,
61,88,84,83,86,88,94,,,,
60,85,83,82,85,87,93,,,,
59,83,82,81,84,86,92,100,,,
58,82,81,80,83,85,91,99,,,
57,81,79,79,82,84,90,98,,,
56,79,78,78,81,83,89,96,100,,
55,78,77,77,79,82,88,95,99,,
54,77,76,76,78,81,87,94,98,,
53,75,75,75,77,79,86,93,97,100,
52,74,74,74,76,78,84,92,96,99,
51,72,73,73,75,77,83,91,94,98,
50,71,71,72,74,76,82,89,93,97,100
49,70,70,71,73,75,81,88,92,95,99
48,68,69,69,72,74,80,87,91,94,98
47,67,68,68,71,73,79,86,90,93,96
46,66,67,67,70,72,78,85,89,92,95
45,64,66,66,69,71,77,84,88,91,94
44,63,65,65,68,70,76,82,87,90,93
43,61,63,64,67,69,74,81,86,89,92
42,60,62,63,66,68,73,80,84,87,91
41,59,61,62,65,67,72,79,83,86,89
40,57,60,61,64,66,71,78,82,85,88
39,56,59,60,63,65,70,76,81,84,87
38,54,58,59,62,64,69,75,80,83,86
37,53,57,58,61,63,68,74,79,82,85
36,52,55,57,60,62,67,73,78,81,84
35,50,54,56,59,61,66,72,77,79,82
34,49,53,55,58,60,64,71,76,78,81
33,48,52,54,57,59,63,69,74,77,80
32,46,51,53,56,58,62,68,73,76,79
31,45,50,52,55,57,61,67,72,75,78
30,43,49,50,54,56,60,66,71,74,76
29,42,47,49,53,55,59,65,70,73,75
28,41,46,48,52,54,58,64,69,71,74
27,39,45,47,51,53,57,62,68,70,73
26,38,44,46,50,52,56,61,67,69,72
25,37,43,45,49,51,54,60,66,68,71
24,35,42,44,48,50,53,59,64,67,69
23,34,41,43,47,49,52,58,63,66,68
22,32,39,42,46,48,51,56,62,65,67
21,31,38,41,45,47,50,55,61,63,66
20,30,37,40,44,46,49,54,60,62,65
19,28,36,39,43,45,48,53,59,61,64
18,27,35,38,42,44,47,52,58,60,62
17,26,34,37,41,43,46,51,57,59,61
16,24,33,36,39,42,44,49,56,58,60
15,23,31,35,38,41,43,48,54,57,59
14,21,30,34,37,39,42,47,53,55,58
13,20,29,33,36,38,41,46,52,54,56
12,19,28,32,35,37,40,45,51,53,55
11,17,27,31,34,36,39,44,50,52,54
10,16,26,29,33,35,38,42,49,51,53
9,14,25,28,32,34,37,41,48,50,52
8,13,23,27,31,33,36,40,47,49,51
7,12,22,26,30,32,34,39,46,47,49
6,10,21,25,29,31,33,38,44,46,48
5,9,20,24,28,30,32,36,43,45,47
4,8,19,23,27,29,0,0,0,0,0
3,6,18,22,26,28,0,0,0,0,0
2,5,17,21,25,27,0,0,0,0,0
1,3,15,20,24,26,0,0,0,0,0
